lakeid,sampledate,rep,depth,chlor
TB,1/14/19,1,0,186.2
TB,1/14/19,1,2,1.2
TB,1/14/19,1,3,0.8
TB,1/14/19,1,5,1.3
TB,1/14/19,1,7,2.1
TB,1/14/19,2,0,189.8
TB,2/22/19,1,0,9
TB,2/22/19,1,2,8
TB,2/22/19,1,3,2.8
TB,2/22/19,1,5,2.2
TB,2/22/19,1,7,1.7
TB,2/22/19,2,7,1.2
TB,3/25/19,1,0,14.9
TB,3/25/19,1,2,2.7
TB,3/25/19,1,3,1.1
TB,3/25/19,1,5,2.5
TB,3/25/19,1,7,6.3
TB,3/25/19,2,3,0.9
TB,1/22/20,1,0,141.6
TB,1/22/20,1,2,1.5
TB,1/22/20,1,3,0.7
TB,1/22/20,1,5,0.6
TB,1/22/20,1,7,1.1
TB,1/22/20,2,0,170.2
TB,2/17/20,1,0,1
TB,2/17/20,1,2,0.7
TB,2/17/20,1,3,0.6
TB,2/17/20,1,5,0.6
TB,2/17/20,1,7,1.3
TB,2/17/20,2,3,0.7
TB,1/20/21,1,0,1.7
TB,1/20/21,1,2,1.2
TB,1/20/21,1,3,1.5
TB,1/20/21,1,5,3
TB,1/20/21,1,7,3.8
TB,1/20/21,2,7,3.1
TB,2/25/21,1,0,0.9
TB,2/25/21,1,2,0.3
TB,2/25/21,1,3,1.3
TB,2/25/21,1,5,1.7
TB,2/25/21,1,7,2
TB,2/25/21,2,3,1.1