lakeid,basin,depth,area,volume,percentvol
TB,entire,8,0,170,0.002755558
TB,entire,7,3487,3487,0.056521352
TB,entire,6,6164,6164,0.099913281
TB,entire,5,7374,7374,0.119526368
TB,entire,4,8292,8292,0.13440638
TB,entire,3,9409,9409,0.152512015
TB,entire,2,10323,10323,0.16732719
TB,entire,1,10983,10983,0.178025238
TB,entire,0,10983,5491.5,0.089012619
SSB,entire,0,4783.55581,4783.55581,0.15439836
SSB,entire,1,4750.850878,4750.850878,0.153342747
SSB,entire,2,4567.404544,4567.404544,0.147421667
SSB,entire,3,4041.526872,4041.526872,0.130447965
SSB,entire,4,3463.987446,3463.987446,0.111806782
SSB,entire,5,2919.812102,2919.812102,0.094242488
SSB,entire,6,2402.081711,2402.081711,0.077531755
SSB,entire,7,1859.639651,1859.639651,0.060023406
SSB,entire,8,1360.788649,1360.788649,0.043922041
SSB,entire,9,832.2481995,832.2481995,0.026862393
SSB,entire,10,0.012218775,0.012218775,3.94384E-07