date,depth,CH4,CO2,CH4sd,CO2sd
1/10/20,0,25.9,520.3333333,3.912799509,26.08320021
1/10/20,3,36,665.6666667,2.685144316,24.13158373
1/10/20,5,33.8,655.3333333,2.42693222,12.66227994
1/10/20,7,135.8,789.3333333,65.47152053,65.30951947
1/30/20,0,25.56666667,610.6666667,1.021436896,13.0511813
1/30/20,3,37.73333333,647.6666667,0.351188458,13.57694124
1/30/20,5,48.9,672.6666667,4.803123983,8.96288644
1/30/20,7,559,1170,121.6223664,0
2/15/20,0,33.66666667,605.3333333,0.65064071,19.34769581
2/15/20,3,39.86666667,655.3333333,2.635020557,13.31665624
2/15/20,5,63.66666667,708,3.100537588,2.645751311
2/15/20,7,75.93333333,733.6666667,7.736493607,17.09775814
3/7/20,0,27.03333333,599,2.757414248,17.52141547
3/7/20,3,49.9,675,3.973663297,6.244997998
3/7/20,5,72.43333333,698.3333333,0.057735027,13.0511813
3/7/20,7,155,803.3333333,18.734994,21.59475245
5/4/20,0,21.1,313,0.888819442,7.211102551
5/4/20,3,45.43333333,526,1.616580754,5.196152423
5/4/20,5,40.96666667,424.6666667,23.71926081,221.4414896
5/4/20,7,118.3333333,673.3333333,9.814954576,14.36430762
6/5/20,0,-0.021333333,79.93333333,0.031708411,19.11055555
6/5/20,3,76.3,672,2.066397832,1.732050808
6/5/20,5,105,697.3333333,2.645751311,2.081665999
6/5/20,7,220,835,6.08276253,163.679565
6/11/20,0,0.535,96.6,0.207537948,3.60970913
6/11/20,3,74.1,642.3333333,3.315116891,22.74496281
6/11/20,5,101.7333333,677,3.92598183,4
6/11/20,7,212.6666667,841,5.131601439,9.16515139
6/18/20,0,-0.057933333,62.93333333,0.009720768,0.585946528
6/18/20,3,77.13333333,720.3333333,3.937427248,14.50287328
6/18/20,5,94.56666667,734.6666667,1.46401275,3.214550254
6/18/20,7,275,1020,6.244997998,10
6/24/20,0,0.482666667,191,0.086927173,1.732050808
6/24/20,3,76.56666667,765.6666667,2.013289183,9.018499506
6/24/20,5,98.36666667,785.6666667,0.665832812,5.507570547
6/24/20,7,335.6666667,1143.333333,14.18919777,5.773502692
6/30/20,0,0.332666667,48.8,0.024110855,0.721110255
6/30/20,3,82.93333333,756,1.913983629,6.557438524
6/30/20,5,98.53333333,733.3333333,2.454248018,28.71120571
6/30/20,7,323.3333333,1090,25.69695183,17.32050808
7/7/20,0,0.83,63.73333333,0.775036128,1.703917056
7/7/20,3,81.9,736.6666667,2.19317122,6.110100927
7/7/20,5,113,762,3.605551275,3
7/7/20,7,313.3333333,1096.666667,7.094598885,20.81665999
7/16/20,0,1.184666667,130.3333333,1.095993309,2.081665999
7/16/20,3,80.26666667,721.6666667,1.484362939,1.527525232
7/16/20,5,104.0333333,725.6666667,5.513921774,6.658328118
7/16/20,7,291.3333333,1020,9.291573243,10
7/22/20,0,1.11,126.3333333,0.365923489,0.577350269
8/4/20,0,3.28,192.6666667,0.667308025,2.309401077
10/5/20,0,16.4,269.6666667,0.888819442,4.163331999
10/5/20,3,98.8,706.3333333,9.014987521,16.50252506
10/5/20,5,119,745.6666667,4.582575695,4.041451884
10/5/20,7,406.6666667,1056.666667,7.505553499,11.54700538
10/30/20,0,26.2,393.6666667,0.519615242,8.504900548
10/30/20,3,24.53333333,364,5.621684208,79.7746827
10/30/20,5,54.23333333,451,14.64661508,23
10/30/20,7,284.3333333,894,18.14754345,26.51414717