lake,date,depth,doy,CO2,CH4,icecovered
SSB,1/9/20,0,9,0.000461667,4.01E-05,yes
SSB,1/9/20,3,9,0.000595667,4.44E-05,yes
SSB,1/9/20,5,9,0.000657,8.22E-05,yes
SSB,1/9/20,7,9,0.00186,0.00128,yes
SSB,1/31/20,0,31,0.000542333,1.50E-05,yes
SSB,1/31/20,3,31,0.000625333,3.95E-05,yes
SSB,1/31/20,5,31,7.00E-04,8.14E-05,yes
SSB,1/31/20,7,31,0.00122,0.000424,yes
SSB,2/14/20,0,45,0.000528,1.53E-05,yes
SSB,2/14/20,3,45,0.000659,6.64E-05,yes
SSB,2/14/20,5,45,0.000718667,0.000144267,yes
SSB,2/14/20,7,45,0.001293333,0.000558,yes
SSB,3/6/20,0,66,0.000594333,3.35E-05,yes
SSB,3/6/20,3,66,0.000658667,6.72E-05,yes
SSB,3/6/20,5,66,0.000731,0.000111133,yes
SSB,3/6/20,7,66,0.00139,0.000684,yes
SSB,5/4/20,0,125,0.000118133,1.45E-05,no
SSB,5/4/20,3,125,0.000578333,6.13E-05,no
SSB,5/4/20,5,125,0.000744,0.000171333,no
SSB,5/4/20,7,125,0.001183333,0.000409333,no
SSB,6/18/20,0,170,6.58E-05,8.73E-07,no
SSB,6/18/20,3,170,0.000938,0.000134,no
SSB,6/18/20,5,170,0.001009,0.000228,no
SSB,6/25/20,0,177,0.0001007,8.72E-07,no
SSB,6/25/20,3,177,0.000782333,0.000124,no
SSB,6/25/20,5,177,0.000814,0.000175,no
SSB,6/25/20,7,177,0.00128,0.000621333,no
SSB,7/2/20,0,184,6.90E-05,1.18E-06,no
SSB,7/2/20,3,184,0.000885333,0.000175,no
SSB,7/2/20,5,184,0.000921333,2.00E-04,no
SSB,7/2/20,7,184,0.00127,0.000570667,no
SSB,7/11/20,0,193,7.27E-05,6.98E-07,no
SSB,7/11/20,3,193,0.000831667,0.000163333,no
SSB,7/11/20,5,193,0.000931,0.00022,no
SSB,7/11/20,7,193,0.001453333,0.000762,no
SSB,7/16/20,0,198,7.61E-05,1.79E-07,no
SSB,7/16/20,3,198,0.000629667,0.0001198,no
SSB,7/16/20,5,198,0.000787,0.000178667,no
SSB,7/16/20,7,198,0.001406667,0.000720333,no
SSB,7/23/20,0,205,0.0001875,2.74E-06,no
SSB,7/23/20,3,205,0.000832333,0.000167667,no
SSB,7/23/20,5,205,0.000925667,0.000235333,no
SSB,7/23/20,7,205,0.00137,0.000731,no
SSB,7/28/20,0,210,0.000119667,-3.47E-07,no
SSB,7/28/20,3,210,0.000871,0.000190333,no
SSB,7/28/20,5,210,0.000951,0.000233667,no
SSB,7/28/20,7,210,0.001403333,0.000706667,no
SSB,10/7/20,0,281,0.000288667,9.46E-06,no
SSB,10/7/20,3,281,0.000904667,0.000269333,no
SSB,10/7/20,5,281,0.000898667,0.000339,no
SSB,10/7/20,7,281,0.00139,0.000763,no
SSB,10/30/20,0,304,0.000489667,6.09E-05,no
SSB,10/30/20,3,304,0.000522,6.05E-05,no
SSB,10/30/20,5,304,0.000515333,6.29E-05,no
SSB,10/30/20,7,304,0.000512,6.10E-05,no
SSB,1/13/21,0,13,0.000503333,6.53E-06,yes
SSB,1/13/21,3,13,0.000507,3.10E-05,yes
SSB,1/13/21,5,13,0.000540333,6.19E-05,yes
SSB,1/13/21,7,13,0.000622333,0.000140667,yes
TB,1/10/20,0,10,0.000520333,2.59E-05,yes
TB,1/10/20,3,10,0.000665667,3.60E-05,yes
TB,1/10/20,5,10,0.000655333,3.38E-05,yes
TB,1/10/20,7,10,0.000789333,0.0001358,yes
TB,1/30/20,0,30,0.000610667,2.56E-05,yes
TB,1/30/20,3,30,0.000647667,3.53E-05,yes
TB,1/30/20,5,30,0.000672667,4.89E-05,yes
TB,1/30/20,7,30,0.00117,0.000559,yes
TB,2/15/20,0,46,0.000605333,3.37E-05,yes
TB,2/15/20,3,46,0.000655333,3.99E-05,yes
TB,2/15/20,5,46,0.000708,6.37E-05,yes
TB,2/15/20,7,46,0.000733667,7.59E-05,yes
TB,3/7/20,0,67,0.000599,2.70E-05,yes
TB,3/7/20,3,67,0.000675,4.99E-05,yes
TB,3/7/20,5,67,0.000698333,6.43E-05,yes
TB,3/7/20,7,67,0.000803333,0.000155,yes
TB,5/4/20,0,125,0.000313,2.11E-05,no
TB,5/4/20,3,125,0.000526,4.54E-05,no
TB,5/4/20,5,125,0.000424667,4.10E-05,no
TB,5/4/20,7,125,0.000673333,0.000118333,no
TB,6/5/20,0,157,7.99E-05,-2.13E-08,no
TB,6/5/20,3,157,0.000672,7.63E-05,no
TB,6/5/20,5,157,0.000697333,0.000105,no
TB,6/5/20,7,157,0.000835,0.00022,no
TB,6/11/20,0,163,9.66E-05,5.35E-07,no
TB,6/11/20,3,163,0.000642333,7.41E-05,no
TB,6/11/20,5,163,0.000677,0.000101733,no
TB,6/11/20,7,163,0.000841,0.000212667,no
TB,6/18/20,0,170,6.29E-05,-5.79E-08,no
TB,6/18/20,3,170,0.000720333,7.71E-05,no
TB,6/18/20,5,170,0.000734667,9.46E-05,no
TB,6/18/20,7,170,0.00102,0.000275,no
TB,6/24/20,0,176,0.000191,4.83E-07,no
TB,6/24/20,3,176,0.000765667,7.66E-05,no
TB,6/24/20,5,176,0.000785667,9.84E-05,no
TB,6/24/20,7,176,0.001143333,0.000335667,no
TB,6/30/20,0,182,4.88E-05,3.33E-07,no
TB,6/30/20,3,182,0.000756,8.29E-05,no
TB,6/30/20,5,182,0.000733333,9.85E-05,no
TB,6/30/20,7,182,0.00109,0.000323333,no
TB,7/7/20,0,189,6.37E-05,8.30E-07,no
TB,7/7/20,3,189,0.000736667,8.19E-05,no
TB,7/7/20,5,189,0.000762,0.000113,no
TB,7/7/20,7,189,0.001096667,0.000313333,no
TB,7/16/20,0,198,0.000130333,1.18E-06,no
TB,7/16/20,3,198,0.000721667,8.03E-05,no
TB,7/16/20,5,198,0.000725667,0.000104033,no
TB,7/16/20,7,198,0.00102,0.000291333,no
TB,7/22/20,0,204,0.000126333,1.11E-06,no
TB,8/4/20,0,217,0.000192667,3.28E-06,no
TB,10/5/20,0,279,0.000269667,1.64E-05,no
TB,10/5/20,3,279,0.000706333,9.88E-05,no
TB,10/5/20,5,279,0.000745667,0.000119,no
TB,10/5/20,7,279,0.001056667,0.000406667,no
TB,10/30/20,0,304,0.000393667,2.62E-05,no
TB,10/30/20,3,304,0.000364,2.45E-05,no
TB,10/30/20,5,304,0.000451,5.42E-05,no
TB,10/30/20,7,304,0.000894,0.000284333,no
TB,1/14/21,0,14,0.000381,1.16E-05,yes
TB,1/14/21,3,14,0.000462333,2.16E-05,yes
TB,1/14/21,5,14,0.000541,7.51E-05,yes
TB,1/14/21,7,14,0.000925333,0.000425333,yes