Date,Bog,Depth,waterTemp,DO%,DO,barometricP
1/9/20,SSB,0,0.2,10.4,1.51,101.786
1/9/20,SSB,1,2.1,0,0,101.786
1/9/20,SSB,2,3.8,0,0,101.786
1/9/20,SSB,3,3.9,0,0,101.786
1/9/20,SSB,4,3.9,0,0,101.786
1/9/20,SSB,5,4,0,0,101.786
1/9/20,SSB,6,4.1,0,0,101.786
1/9/20,SSB,7,4.2,0,0,101.786
1/10/20,TB,0,1,8,1,100.847
1/10/20,TB,1,2.3,2.7,0.33,100.847
1/10/20,TB,2,3.4,0.8,0.1,100.847
1/10/20,TB,3,3.7,0,0,100.847
1/10/20,TB,4,3.9,0,0,100.847
1/10/20,TB,5,4,0,0,100.847
1/10/20,TB,6,4.1,0,0,100.847
1/10/20,TB,7,4.1,0,0,100.847
1/30/20,TB,0,0.7,0,0,96.165
1/30/20,TB,1,1.8,0,0,96.165
1/30/20,TB,2,3.1,0,0,96.165
1/30/20,TB,3,3.6,0,0,96.165
1/30/20,TB,4,3.7,0,0,96.165
1/30/20,TB,5,3.8,0,0,96.165
1/30/20,TB,6,3.9,0,0,96.165
1/30/20,TB,7,4.1,0,0,96.165
1/31/20,SSB,0,0.8,3.5,0.5,95.726
1/31/20,SSB,1,1.9,0,0,95.726
1/31/20,SSB,2,3.3,0,0,95.726
1/31/20,SSB,3,3.7,0,0,95.726
1/31/20,SSB,4,3.9,0,0,95.726
1/31/20,SSB,5,4,0,0,95.726
1/31/20,SSB,6,4.1,0,0,95.726
1/31/20,SSB,7,4.2,0,0,95.726
2/14/20,SSB,0,1.9,0,0,94.926
2/14/20,SSB,1,3.6,0,0,94.926
2/14/20,SSB,2,3.9,0,0,94.926
2/14/20,SSB,3,4,0,0,94.926
2/14/20,SSB,4,4.1,0,0,94.926
2/14/20,SSB,5,4.1,0,0,94.926
2/14/20,SSB,6,4.2,0,0,94.926
2/14/20,SSB,7,4.3,0,0,94.926
2/15/20,TB,0,1.6,0,0,95.006
2/15/20,TB,1,3,0,0,95.006
2/15/20,TB,2,3.7,0,0,95.006
2/15/20,TB,3,3.8,0,0,95.006
2/15/20,TB,4,3.9,0,0,95.006
2/15/20,TB,5,4,0,0,95.006
2/15/20,TB,6,4.1,0,0,95.006
2/15/20,TB,7,4.2,0,0,95.006
3/6/20,SSB,0,0.5,39.5,5.71,97.272
3/6/20,SSB,1,1.6,0,0,97.272
3/6/20,SSB,2,3.1,0,0,97.272
3/6/20,SSB,3,3.8,0,0,97.272
3/6/20,SSB,4,3.9,0,0,97.272
3/6/20,SSB,5,4,0,0,97.272
3/6/20,SSB,6,4.1,0,0,97.272
3/6/20,SSB,7,4.3,0,0,97.272
3/7/20,TB,0,1.3,0.2,0.03,96.459
3/7/20,TB,1,1.5,0,0,96.459
3/7/20,TB,2,2.6,0,0,96.459
3/7/20,TB,3,3.6,0,0,96.459
3/7/20,TB,4,3.8,0,0,96.459
3/7/20,TB,5,3.9,0,0,96.459
3/7/20,TB,6,4,0,0,96.459
3/7/20,TB,7,4,0,0,96.459